"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP30897","C16NO6",302.1743,2,16,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,98.42,3.305
"CMP30898","C15NO5",274.1642,0,15,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,2,69.93,2.6263
"CMP30899","C15BrFN2O2",339.0751032,0,15,0,2,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,50.36,4.2526
"CMP30900","C16BrNO3",334.0801,0,16,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,47.56,3.6574
"CMP30901","C11N3O2S2",270.2666,0,11,0,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,120.82,2.0388
"CMP30902","C18N5O3",334.2243,0,18,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,4,105.39,1.6202
"CMP30903","C18N5O",302.2255,0,18,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,3,86.94,2.52358
"CMP30904","C22N5O4",398.2665,0,22,0,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,4,4,114.62,2.4872
"CMP30905","C27N5O2",426.3212,0,27,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,4,92.25,4.2329
"CMP30906","C10F3NO2",223.1077096,0,10,0,1,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,46.17,2.463
"CMP30907","C17ClN2O4S",363.7109,0,17,0,2,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,106.87,4.9476
"CMP30908","C19NO2",274.2088,0,19,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,42.24,4.1188
