"","MF","MW","Ncharges","C","Cl","N","O","S","I","F","Br","Ge","Si","H","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP996","C20F3N2O5S",437.2846096,2,20,0,2,5,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,117.73,5.5365
"CMP997","C15N2O2S",272.2377,0,15,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,2,78.47,2.7753
"CMP998","C17N2O2S",296.2591,0,17,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,65.92,2.9592
"CMP999","C22BrN2O7",484.1486,0,22,0,2,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,3,2,122.24,3.2281
"CMP1000","C22N2O2S",356.3126,0,22,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,4.5723
"CMP1001","C13BrNO3S",330.113,0,13,0,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,82.91,2.7621
"CMP1002","C20IO4",431.11607,0,20,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,3,3,52.6,3.7744
"CMP1003","C14ClN2O4",295.6138,0,14,1,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,1,76.66,2.1985
"CMP1004","C16NO3S2",318.3061,0,16,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,96.16,2.4841
"CMP1005","C17ClNO4S2",381.7692,0,17,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,2,1,105.39,3.1461
"CMP1006","C17BrNO6S",426.154,0,17,0,1,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,1,118.44,2.9186
"CMP1007","C22BrN2O4S",468.2154,0,22,0,2,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,101.01,4.4554
"CMP1008","C17Cl2NO3S",369.1578,0,17,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,75.82,4.8608
"CMP1009","C20IN2O2",427.13067,0,20,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,41.9,3.6099
"CMP1010","C17NO3S",298.2518,0,17,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,71.91,3.3288
"CMP1011","C16BrNO6S",414.1433,0,16,0,1,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,1,118.44,2.5285
"CMP1012","C15BrN2O2S",352.1417,0,15,0,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,65.92,3.1225
"CMP1013","C19BrClN2O2S",435.6375,0,19,1,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,5.1174
"CMP1014","C21N2O4S",376.3007,0,21,0,2,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,2,93.91,3.4881
"CMP1015","C20INO3S",461.18837,0,20,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71.91,4.4776
"CMP1016","C14IN2O4",387.06527,0,14,0,2,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,1,76.66,2.1497
"CMP1017","C21BrNO4S",442.198,0,21,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,4.6441
"CMP1018","C21BrFNO4S",461.1964032,0,21,0,1,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,4.7832
"CMP1019","C21BrNO5S",458.1974,0,21,0,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3,2,109.21,4.3337
