"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP2275","C29N6O5",512.3475,0,29,0,6,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,4,4,131.59,3.6927
"CMP2276","C11N",146.1244,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,2.3613
"CMP2277","C27HN7O3S2",535.47194,0,27,0,7,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,158.73,5.3305
"CMP2278","C43N7O9S",790.5666,0,43,0,7,9,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,6,6,203.65,6.6397
"CMP2279","C41HN7O9S2",799.61814,0,41,0,7,9,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,6,5,212.03,7.9088
"CMP2280","C43N8O9S",804.5733,0,43,0,8,9,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,5,5,206.89,6.3327
"CMP2281","C41HN8O8S2",797.62544,0,41,0,8,8,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,5,5,202.13,7.2286
"CMP2282","C55N8O12S2",1028.7649,0,55,0,8,12,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,0,8,5,288.51,9.4034
"CMP2283","C28H4N5O10S",602.42386,0,28,0,5,10,1,4,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,4,3,214.18,1.2946
"CMP2284","C40N7O10S",770.5339,0,40,0,7,10,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,5,5,212.88,5.4951
"CMP2285","C22N2O5S",404.3108,0,22,0,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,2,93.32,4.2072
"CMP2286","C38HN8O8S3",793.65834,0,38,0,8,8,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5,5,240.02,7.1329
"CMP2287","C43N6O7",712.4961,0,43,0,6,7,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,0,0,8,5,165.73,6.2044
"CMP2288","C41HN6O7S",721.54764,0,41,0,6,7,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,8,4,174.11,7.4735
"CMP2289","C43N7O7",726.5028,0,43,0,7,7,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,0,0,7,4,168.97,5.8974
"CMP2290","C41HN7O6S",719.55494,0,41,0,7,6,1,1,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,7,4,164.21,6.7933
"CMP2291","C55N7O10S",950.6944,0,55,0,7,10,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,2,0,0,10,4,250.59,8.9681
"CMP2292","C28H4N4O8",524.35336,0,28,0,4,8,0,4,0,0,0,0,0,1,0,0,4,0,2,0,0,2,0,0,6,2,176.26,0.8593
"CMP2293","C40N6O8",692.4634,0,40,0,6,8,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,2,0,0,7,4,174.96,5.0598
"CMP2294","C22NO3",326.2403,0,22,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,4,1,55.4,3.7284
"CMP2295","C38HN7O6S2",715.58784,0,38,0,7,6,2,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,7,4,202.1,6.6976
"CMP2296","C38N8O10",728.4542,2,38,0,8,10,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,6,6,240.85,5.3763
"CMP2297","C36HN8O10S",737.50574,2,36,0,8,10,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,6,5,249.23,6.6454
"CMP2298","C38N9O10",742.4609,2,38,0,9,10,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,2,0,0,5,5,244.09,5.0693
